rank_source,dataset,scoring_mode,n,top1,top3,top5,top10,top30,top50,mean_rank,median_rank,rank_le_50
hgnn_top50_candidates,MyGene2,canonical_primary,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,60606061.72727273,1.0,0.9393939393939394
hgnn_top50_candidates,RAMEDIS,canonical_primary,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,23041477.00921659,1.0,0.9769585253456221
hgnn_top50_candidates,mimic_test_recleaned_mondo_hpo_rows,canonical_primary,1873,0.19914575547250402,0.29738387613454353,0.34863854778430325,0.4180459156433529,0.5483182060864923,0.6294714361986119,370528570.6572344,20.0,0.6294714361986119
hgnn_top50_candidates,ALL,canonical_primary,2978,0.2857622565480188,0.3888515782404298,0.43552719946272667,0.5043653458697113,0.6218938885157824,0.6903962390866353,309603767.0913365,10.0,0.6903962390866353
hgnn_top50_candidates,DDD,canonical_any_label,761,0.30486202365308807,0.43101182654402104,0.47174770039421815,0.5492772667542707,0.6741130091984231,0.7319316688567674,268068337.11038107,7.0,0.7319316688567674
hgnn_top50_candidates,HMS,canonical_any_label,25,0.36,0.44,0.56,0.64,0.72,0.76,240000004.0,4.0,0.76
hgnn_top50_candidates,LIRICAL,canonical_any_label,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.6779661016949152,0.7796610169491526,0.847457627118644,152542378.77966103,1.0,0.847457627118644
hgnn_top50_candidates,MME,canonical_any_label,10,0.8,0.9,0.9,0.9,0.9,0.9,100000001.1,1.0,0.9
hgnn_top50_candidates,MyGene2,canonical_any_label,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.9393939393939394,60606061.72727273,1.0,0.9393939393939394
hgnn_top50_candidates,RAMEDIS,canonical_any_label,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9493087557603687,0.9631336405529954,0.9769585253456221,23041477.00921659,1.0,0.9769585253456221
hgnn_top50_candidates,mimic_test_recleaned_mondo_hpo_rows,canonical_any_label,1873,0.21302722904431393,0.31607047517351844,0.3694607581420182,0.4426054458088628,0.5814201815269621,0.6636412172984517,336358789.8035238,16.0,0.6636412172984517
hgnn_top50_candidates,ALL,canonical_any_label,2978,0.29482874412357285,0.40094022834116855,0.4496306245802552,0.5201477501678979,0.6430490261920753,0.7122229684351914,287777037.8945601,9.0,0.7122229684351914
ddd_rerank_top50,DDD,strict_primary,761,0.3639947437582129,0.4783180026281209,0.5177398160315374,0.5978975032851511,0.6964520367936925,0.7293035479632063,270696456.42706966,4.0,0.7293035479632063
ddd_rerank_top50,ALL,strict_primary,761,0.3639947437582129,0.4783180026281209,0.5177398160315374,0.5978975032851511,0.6964520367936925,0.7293035479632063,270696456.42706966,4.0,0.7293035479632063
ddd_rerank_top50,DDD,any_label,761,0.36530880420499345,0.480946123521682,0.5216819973718791,0.5992115637319316,0.6977660972404731,0.7306176084099869,269382395.96977663,4.0,0.7306176084099869
ddd_rerank_top50,ALL,any_label,761,0.36530880420499345,0.480946123521682,0.5216819973718791,0.5992115637319316,0.6977660972404731,0.7306176084099869,269382395.96977663,4.0,0.7306176084099869
ddd_rerank_top50,DDD,canonical_primary,761,0.3639947437582129,0.47963206307490147,0.519053876478318,0.5992115637319316,0.6977660972404731,0.7306176084099869,269382395.97897506,4.0,0.7306176084099869
ddd_rerank_top50,ALL,canonical_primary,761,0.3639947437582129,0.47963206307490147,0.519053876478318,0.5992115637319316,0.6977660972404731,0.7306176084099869,269382395.97897506,4.0,0.7306176084099869
ddd_rerank_top50,DDD,canonical_any_label,761,0.36530880420499345,0.48226018396846254,0.5229960578186597,0.6005256241787122,0.6990801576872536,0.7319316688567674,268068335.521682,4.0,0.7319316688567674
ddd_rerank_top50,ALL,canonical_any_label,761,0.36530880420499345,0.48226018396846254,0.5229960578186597,0.6005256241787122,0.6990801576872536,0.7319316688567674,268068335.521682,4.0,0.7319316688567674
mimic_similarcase_top50,mimic_test_recleaned_mondo_hpo_rows,strict_primary,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.4612920448478377,0.5830218900160171,0.6689802455953017,308061940.96369463,15.0,0.6689802455953017
mimic_similarcase_top50,ALL,strict_primary,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.4612920448478377,0.5830218900160171,0.6689802455953017,308061940.96369463,15.0,0.6689802455953017
mimic_similarcase_top50,mimic_test_recleaned_mondo_hpo_rows,any_label,1873,0.23384943940202882,0.37533368926855315,0.4335290977042178,0.49279231179925254,0.6139882541377469,0.7031500266951415,275493868.45808864,11.0,0.7031500266951415
mimic_similarcase_top50,ALL,any_label,1873,0.23384943940202882,0.37533368926855315,0.4335290977042178,0.49279231179925254,0.6139882541377469,0.7031500266951415,275493868.45808864,11.0,0.7031500266951415
mimic_similarcase_top50,mimic_test_recleaned_mondo_hpo_rows,canonical_primary,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.4612920448478377,0.5830218900160171,0.6689802455953017,308061940.96369463,15.0,0.6689802455953017
