dataset,case_hpo_bucket,gold_hpo_bucket,ic_overlap_bucket,seen_label,overlap_zero,num_rank_gt50_cases,mean_rank,mean_case_hpo_count,mean_gold_disease_hpo_count,mean_exact_overlap,mean_ic_weighted_overlap,mean_semantic_overlap,obsolete_mondo_rate,unmapped_mondo_rate
DDD,"(5,10]","(7,15]","(0.25,0.5]",True,False,2,70.5,7.5,10.0,0.3548798175208133,0.30306826638897294,0.30306826638897294,0.0,0.0
DDD,"(-inf,3]","(30,inf)","(-inf,0]",True,True,1,3930.0,2.0,36.0,0.0,0.0,0.1834483568853293,0.0,0.0
DDD,"(-inf,3]","(7,15]","(0.1,0.25]",True,False,1,248.0,2.0,11.0,0.21320071635561041,0.17965590934329195,0.17965590934329195,0.0,0.0
DDD,"(-inf,3]","(7,15]","(0.5,inf)",True,False,1,11068.0,1.0,15.0,0.2581988897471611,1.0,1.0,0.0,0.0
DDD,"(10,20]","(15,30]","(-inf,0]",True,True,1,261.0,14.0,22.0,0.0,0.0,0.41409913730639153,0.0,0.0
DDD,"(10,20]","(15,30]","(0,0.05]",False,False,1,192.0,17.0,22.0,0.051708768999501914,0.019720867577343974,0.25311992494743374,0.0,0.0
DDD,"(10,20]","(15,30]","(0,0.05]",True,False,1,74.0,13.0,17.0,0.06726727939963124,0.026744035427700007,0.3819046459559323,0.0,0.0
DDD,"(10,20]","(15,30]","(0.05,0.1]",True,False,1,1099.0,14.0,30.0,0.14638501094227999,0.08493918234138095,0.20333324359525523,0.0,0.0
DDD,"(10,20]","(15,30]","(0.1,0.25]",False,False,1,98.0,20.0,16.0,0.33541019662496846,0.2324423774154426,0.6804391926834623,0.0,0.0
DDD,"(10,20]","(15,30]","(0.1,0.25]",True,False,1,280.0,11.0,23.0,0.1257389226923863,0.13364443293052508,0.17930194018550744,0.0,0.0
DDD,"(10,20]","(15,30]","(0.5,inf)",True,False,1,53.0,13.0,17.0,0.6054055145966812,0.5363076291527212,0.5363076291527212,0.0,0.0
DDD,"(10,20]","(3,7]","(0.05,0.1]",False,False,1,63.0,18.0,7.0,0.1781741612749496,0.07613830145188374,0.1672308374280117,0.0,0.0
DDD,"(10,20]","(3,7]","(0.25,0.5]",False,False,1,96.0,16.0,7.0,0.472455591261534,0.295981576425056,0.5862830332379807,0.0,0.0
DDD,"(10,20]","(30,inf)","(0,0.05]",False,False,1,12725.0,18.0,35.0,0.03984095364447979,0.028593733410715656,0.146671368864492,0.0,0.0
DDD,"(10,20]","(30,inf)","(0.05,0.1]",False,False,1,225.0,15.0,104.0,0.05063696835418333,0.05016730121208617,1.0,0.0,0.0
DDD,"(10,20]","(30,inf)","(0.05,0.1]",True,False,1,443.0,11.0,41.0,0.09417632186960222,0.07927259956762851,0.626823731077041,0.0,0.0
DDD,"(10,20]","(30,inf)","(0.25,0.5]",False,False,1,74.0,16.0,70.0,0.26892643710023856,0.42437793791562667,0.5418815931541571,0.0,0.0
DDD,"(10,20]","(30,inf)","(0.5,inf)",False,False,1,101.0,16.0,44.0,0.3768891807222045,0.6012258603149941,0.6937939945767276,0.0,0.0
DDD,"(10,20]","(7,15]","(-inf,0]",True,True,1,5487.0,14.0,8.0,0.0,0.0,0.0586148691767987,0.0,0.0
DDD,"(10,20]","(7,15]","(0,0.05]",False,False,1,304.0,17.0,11.0,0.14625448482542613,0.04194738654905619,0.13047321670274875,0.0,0.0
DDD,"(10,20]","(7,15]","(0.05,0.1]",False,False,1,3325.0,16.0,8.0,0.08838834764831843,0.05630145224826084,0.1571575499310453,0.0,0.0
DDD,"(20,inf)","(15,30]","(0,0.05]",True,False,1,132.0,84.0,18.0,0.07715167498104596,0.020637498580578607,0.06943540998376779,0.0,0.0
DDD,"(20,inf)","(3,7]","(0,0.05]",False,False,1,171.0,53.0,5.0,0.12285902336679023,0.035149589649581925,0.09635950933244035,0.0,0.0
DDD,"(20,inf)","(30,inf)","(0.1,0.25]",True,False,1,152.0,22.0,35.0,0.21622499104693416,0.13185269658926263,0.6191395536179125,0.0,0.0
DDD,"(20,inf)","(30,inf)","(0.25,0.5]",True,False,1,1498.0,25.0,50.0,0.3959797974644666,0.47033008242731644,0.5637131213916836,0.0,0.0
DDD,"(20,inf)","(7,15]","(0.05,0.1]",False,False,1,203.0,36.0,11.0,0.20100756305184242,0.07210843057280403,0.07210843057280403,0.0,0.0
DDD,"(3,5]","(15,30]","(0.25,0.5]",True,False,1,306.0,5.0,20.0,0.1,0.2942234119017415,0.43111852564091757,0.0,0.0
DDD,"(3,5]","(3,7]","(0.1,0.25]",True,False,1,2064.0,5.0,5.0,0.2,0.17989934566808913,0.17989934566808913,0.0,0.0
DDD,"(3,5]","(30,inf)","(-inf,0]",True,True,1,167.0,4.0,42.0,0.0,0.0,0.740991325481334,0.0,0.0
DDD,"(3,5]","(7,15]","(-inf,0]",True,True,1,2809.0,4.0,11.0,0.0,0.0,0.8001689085598862,0.0,0.0
DDD,"(5,10]","(15,30]","(0.1,0.25]",True,False,1,237.0,8.0,22.0,0.15075567228888181,0.19569527984983798,0.550057174947776,0.0,0.0
DDD,"(5,10]","(3,7]","(0.05,0.1]",True,False,1,71.0,6.0,7.0,0.1543033499620919,0.0835293655256134,0.6570747476673547,0.0,0.0
DDD,"(5,10]","(3,7]","(0.1,0.25]",True,False,1,71.0,7.0,5.0,0.1690308509457033,0.13468716281010382,0.4548034465953182,0.0,0.0
DDD,"(5,10]","(30,inf)","(-inf,0]",True,True,1,6920.0,10.0,49.0,0.0,0.0,1.0,0.0,0.0
DDD,"(5,10]","(7,15]","(0.05,0.1]",True,False,1,70.0,7.0,10.0,0.11952286093343936,0.09797906686003849,0.5770442895175647,0.0,0.0
HMS,"(10,20]","(30,inf)","(0.1,0.25]",True,False,2,115.0,18.0,49.0,0.1354613679903014,0.17618572920205805,0.25252741441930004,0.0,0.0
HMS,"(10,20]","(30,inf)","(0,0.05]",True,False,1,139.0,17.0,43.0,0.036986336072765455,0.040812306486707556,0.040812306486707556,0.0,0.0
HMS,"(10,20]","(30,inf)","(0.05,0.1]",True,False,1,151.0,15.0,76.0,0.05923488777590923,0.0936649457918901,0.18827637246447576,0.0,0.0
HMS,"(10,20]","(7,15]","(0.1,0.25]",True,False,1,553.0,19.0,11.0,0.13834289277321493,0.10919699892732448,0.14350588285850277,0.0,0.0
HMS,"(20,inf)","(3,7]","(-inf,0]",True,True,1,68.0,54.0,7.0,0.0,0.0,0.0,0.0,0.0
HMS,"(5,10]","(30,inf)","(0.1,0.25]",True,False,1,148.0,10.0,44.0,0.09534625892455924,0.1542941600537089,0.2660212665274414,0.0,0.0
LIRICAL,"(10,20]","(30,inf)","(0.25,0.5]",True,False,2,318.0,17.0,66.5,0.2563732285635204,0.4211550855920098,0.5070147766038006,0.0,0.0
LIRICAL,"(10,20]","(30,inf)","(0.5,inf)",True,False,2,94.5,15.0,84.0,0.3119079777114172,0.7426738871799485,0.9067809608635904,0.0,0.0
LIRICAL,"(20,inf)","(30,inf)","(0.25,0.5]",True,False,2,70.5,28.0,106.0,0.1997048737579052,0.2907155243424003,0.6107744136274875,0.0,0.0
LIRICAL,"(10,20]","(15,30]","(0.1,0.25]",True,False,1,275.0,12.0,28.0,0.2182178902359924,0.19436247124803244,0.3110294616132713,0.0,0.0
LIRICAL,"(10,20]","(30,inf)","(0.1,0.25]",True,False,1,14693.0,13.0,34.0,0.14269544824634822,0.1265752809882714,0.18163101862873987,0.0,0.0
LIRICAL,"(3,5]","(15,30]","(0.25,0.5]",True,False,1,61.0,5.0,17.0,0.21693045781865616,0.421905197716322,0.6070082791227562,0.0,0.0
LIRICAL,"(3,5]","(30,inf)","(0.1,0.25]",True,False,1,59.0,5.0,41.0,0.06984302957695782,0.2313595092009838,0.2313595092009838,0.0,0.0
LIRICAL,"(3,5]","(30,inf)","(0.25,0.5]",True,False,1,97.0,5.0,58.0,0.11744404390294069,0.38437259506215016,0.590223115664975,0.0,0.0
LIRICAL,"(5,10]","(15,30]","(0.25,0.5]",True,False,1,60.0,7.0,17.0,0.18333969940564226,0.25096945429685846,0.5400446421720388,0.0,0.0
LIRICAL,"(5,10]","(30,inf)","(0.25,0.5]",True,False,1,1386.0,6.0,106.0,0.11895773785772162,0.45263216748875745,0.7423324269015563,0.0,0.0
MME,"(10,20]","(15,30]","(0.1,0.25]",True,False,1,88.0,14.0,25.0,0.16035674514745463,0.1664424029942164,0.30118340272518934,0.0,0.0
MyGene2,"(3,5]","(7,15]","(0.25,0.5]",True,False,1,310.0,4.0,12.0,0.14433756729740646,0.33208959911169667,0.33208959911169667,0.0,0.0
RAMEDIS,"(10,20]","(30,inf)","(0.1,0.25]",True,False,1,401.0,12.0,44.0,0.08703882797784893,0.14152241075638833,0.25857954733884936,0.0,0.0
RAMEDIS,"(5,10]","(15,30]","(-inf,0]",True,True,1,74.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0
mimic_test,"(5,10]","(3,7]","(-inf,0]",True,True,59,1214.677966101695,7.9491525423728815,5.491525423728813,0.0,0.0,0.05063428364438703,0.0,0.0
mimic_test,"(10,20]","(3,7]","(-inf,0]",True,True,42,1101.595238095238,13.904761904761905,5.309523809523809,0.0,0.0,0.027163569890018373,0.0,0.0
mimic_test,"(3,5]","(3,7]","(-inf,0]",True,True,33,1042.7878787878788,4.575757575757576,5.333333333333333,0.0,0.0,0.03414260938964175,0.0,0.0
mimic_test,"(5,10]","(7,15]","(-inf,0]",True,True,30,848.6,7.833333333333333,10.666666666666666,0.0,0.0,0.051511056681784254,0.0,0.0
mimic_test,"(10,20]","(30,inf)","(0.1,0.25]",True,False,29,466.55172413793105,13.827586206896552,55.3448275862069,0.10238842485506836,0.16155660128756383,0.2832632167371762,0.0,0.0
mimic_test,"(-inf,3]","(3,7]","(-inf,0]",True,True,28,2223.214285714286,2.392857142857143,5.571428571428571,0.0,0.0,0.07315530588786522,0.0,0.0
mimic_test,"(10,20]","(7,15]","(-inf,0]",True,True,28,1410.392857142857,13.178571428571429,10.928571428571429,0.0,0.0,0.05809331016460989,0.0,0.0
mimic_test,"(5,10]","(3,7]","(0.1,0.25]",True,False,26,538.0384615384615,7.0,5.961538461538462,0.1969841688284512,0.1572117354914956,0.22428911383251932,0.0,0.0
mimic_test,"(5,10]","(15,30]","(-inf,0]",True,True,23,752.3478260869565,8.043478260869565,21.608695652173914,0.0,0.0,0.1450254667315883,0.0,0.0
mimic_test,"(10,20]","(7,15]","(0.05,0.1]",True,False,20,193.15,14.35,11.7,0.09400102628734068,0.06537791905079833,0.1426052006083231,0.0,0.0
mimic_test,"(10,20]","(3,7]","(0.05,0.1]",True,False,18,885.9444444444445,12.777777777777779,6.166666666666667,0.12707283544397827,0.07212466872137213,0.10971296273419444,0.0,0.0
mimic_test,"(5,10]","(3,7]","(0.05,0.1]",True,False,16,384.5,8.875,5.5625,0.14436405944433908,0.07747909754305594,0.12550371795332238,0.0,0.0
mimic_test,"(5,10]","(30,inf)","(0.1,0.25]",True,False,15,563.0666666666667,7.733333333333333,54.06666666666667,0.07778530716409608,0.1668646037827103,0.27652465492831413,0.0,0.0
mimic_test,"(10,20]","(15,30]","(-inf,0]",True,True,14,258.42857142857144,14.357142857142858,22.428571428571427,0.0,0.0,0.11653953651466205,0.0,0.0
mimic_test,"(10,20]","(30,inf)","(0.05,0.1]",True,False,14,394.2142857142857,13.357142857142858,47.0,0.047199567672202083,0.07010265943490387,0.2072538922499816,0.0,0.0
mimic_test,"(10,20]","(15,30]","(0.05,0.1]",True,False,13,389.0769230769231,13.76923076923077,22.53846153846154,0.08027913155528682,0.07599502775454098,0.18689535529100648,0.0,0.0
mimic_test,"(10,20]","(15,30]","(0.1,0.25]",True,False,12,191.91666666666666,14.25,23.333333333333332,0.1485448116107846,0.15914396034248282,0.2726149248421234,0.0,0.0
mimic_test,"(5,10]","(30,inf)","(-inf,0]",True,True,12,383.6666666666667,8.333333333333334,43.583333333333336,0.0,0.0,0.1639861871010272,0.0,0.0
mimic_test,"(5,10]","(30,inf)","(0.05,0.1]",True,False,12,276.0,9.0,46.333333333333336,0.050104936058592876,0.08421310019898448,0.22208137620681476,0.0,0.0
mimic_test,"(3,5]","(7,15]","(-inf,0]",True,True,11,335.45454545454544,4.363636363636363,9.0,0.0,0.0,0.07035626282725861,0.0,0.0
mimic_test,"(5,10]","(15,30]","(0.1,0.25]",True,False,11,1521.8181818181818,8.454545454545455,20.90909090909091,0.09031158758977464,0.1314988071419724,0.2209089363440266,0.0,0.0
mimic_test,"(5,10]","(7,15]","(0.1,0.25]",True,False,11,173.8181818181818,7.909090909090909,12.090909090909092,0.15992016777626447,0.15968407036146842,0.2662759473464459,0.0,0.0
mimic_test,"(10,20]","(7,15]","(0.1,0.25]",True,False,10,203.6,15.1,10.6,0.1863623203202274,0.13364958441502292,0.19983361363482366,0.0,0.0
mimic_test,"(5,10]","(15,30]","(0.1,0.25]",False,False,10,192.9,8.8,27.3,0.08989777236083861,0.17068159067721325,0.7105661619406958,0.0,0.0
mimic_test,"(5,10]","(30,inf)","(0.25,0.5]",True,False,10,230.9,8.9,48.6,0.17181204221265609,0.32337259680031705,0.48810691286057006,0.0,0.0
mimic_test,"(-inf,3]","(7,15]","(-inf,0]",True,True,9,1482.4444444444443,2.111111111111111,11.444444444444445,0.0,0.0,0.05795345350617964,0.0,0.0
mimic_test,"(3,5]","(3,7]","(0.1,0.25]",True,False,9,591.0,4.555555555555555,5.777777777777778,0.19739511535615778,0.19135288414718993,0.21576390395365572,0.0,0.0
mimic_test,"(-inf,3]","(3,7]","(-inf,0]",False,True,8,1194.625,2.25,6.125,0.0,0.0,0.0,0.0,0.0
mimic_test,"(5,10]","(7,15]","(0.05,0.1]",True,False,8,338.5,8.75,11.375,0.1027971179155769,0.08101157225623037,0.1298954072986257,0.0,0.0
mimic_test,"(-inf,3]","(30,inf)","(-inf,0]",True,True,7,1659.7142857142858,1.7142857142857142,39.857142857142854,0.0,0.0,0.14285714285714285,0.0,0.0
mimic_test,"(10,20]","(30,inf)","(0.25,0.5]",True,False,7,151.85714285714286,13.0,57.714285714285715,0.19765785376942402,0.3721193328780236,0.4420498018134727,0.0,0.0
mimic_test,"(10,20]","(7,15]","(0,0.05]",True,False,7,262.0,16.285714285714285,10.714285714285714,0.07743636562224927,0.03501109166767701,0.09080860761808315,0.0,0.0
mimic_test,"(3,5]","(3,7]","(-inf,0]",False,True,7,2348.285714285714,4.428571428571429,5.714285714285714,0.0,0.0,0.02899052565591566,0.0,0.0
mimic_test,"(10,20]","(3,7]","(0.1,0.25]",True,False,6,482.6666666666667,12.666666666666666,5.5,0.20070041903273683,0.12059851810285059,0.17450569456972878,0.0,0.0
mimic_test,"(10,20]","(30,inf)","(0,0.05]",True,False,6,2957.8333333333335,13.333333333333334,53.666666666666664,0.03928276445927748,0.04172577501747085,0.21261209309871634,0.0,0.0
mimic_test,"(3,5]","(30,inf)","(-inf,0]",True,True,6,342.1666666666667,4.666666666666667,50.666666666666664,0.0,0.0,0.19348054381686206,0.0,0.0
mimic_test,"(3,5]","(30,inf)","(0.1,0.25]",True,False,6,489.8333333333333,4.5,48.0,0.07073073519030265,0.18326217663527958,0.3772639407556683,0.0,0.0
mimic_test,"(5,10]","(15,30]","(0.05,0.1]",True,False,6,675.8333333333334,8.166666666666666,22.5,0.07539940198188727,0.08929320399479264,0.1347700443222051,0.0,0.0
mimic_test,"(10,20]","(30,inf)","(-inf,0]",True,True,5,2274.4,14.2,44.4,0.0,0.0,0.10551669305092445,0.0,0.0
mimic_test,"(10,20]","(7,15]","(-inf,0]",False,True,5,2679.2,14.8,9.4,0.0,0.0,0.020269262855578372,0.0,0.0
mimic_test,"(3,5]","(7,15]","(0.1,0.25]",True,False,5,110.6,4.2,10.6,0.15340376930553426,0.18164146069805115,0.24427754847593963,0.0,0.0
mimic_test,"(5,10]","(3,7]","(-inf,0]",False,True,5,621.0,7.4,6.2,0.0,0.0,0.1627497199912084,0.0,0.0
mimic_test,"(10,20]","(15,30]","(0.1,0.25]",False,False,4,503.0,12.5,26.25,0.11073245546911929,0.14989745403627402,0.36313826801181165,0.0,0.0
mimic_test,"(10,20]","(3,7]","(-inf,0]",False,True,4,816.75,14.75,6.25,0.0,0.0,0.07427507716068052,0.0,0.0
mimic_test,"(10,20]","(30,inf)","(-inf,0]",False,True,4,12377.75,13.75,35.0,0.0,0.0,0.0,0.0,0.0
mimic_test,"(20,inf)","(3,7]","(-inf,0]",True,True,4,210.25,21.75,5.25,0.0,0.0,0.008783387774144875,0.0,0.0
mimic_test,"(3,5]","(3,7]","(0.25,0.5]",True,False,4,301.75,5.0,6.25,0.22580251839037935,0.30193225170288324,0.30193225170288324,0.0,0.0
mimic_test,"(5,10]","(15,30]","(0.05,0.1]",False,False,4,982.75,9.0,24.75,0.0680550440859649,0.08829633390667524,0.46318859576185145,0.0,0.0
mimic_test,"(10,20]","(15,30]","(0,0.05]",True,False,3,136.33333333333334,16.666666666666668,20.333333333333332,0.05587748686001596,0.04234502906797683,0.04234502906797683,0.0,0.0
mimic_test,"(10,20]","(3,7]","(0,0.05]",True,False,3,223.66666666666666,15.0,5.333333333333333,0.11212746594363694,0.046431866354379465,0.06842462486182062,0.0,0.0
mimic_test,"(20,inf)","(30,inf)","(0.1,0.25]",True,False,3,1090.3333333333333,22.333333333333332,69.33333333333333,0.11946246630157475,0.1707314015006212,0.23874926651189501,0.0,0.0
mimic_test,"(5,10]","(15,30]","(-inf,0]",False,True,3,1087.3333333333333,7.666666666666667,24.0,0.0,0.0,0.23475995714681339,0.0,0.0
mimic_test,"(5,10]","(15,30]","(0.25,0.5]",False,False,3,214.66666666666666,9.0,27.0,0.17036901301762833,0.29212580701709867,0.6476310893397169,0.0,0.0
mimic_test,"(5,10]","(15,30]","(0.25,0.5]",True,False,3,506.0,6.666666666666667,24.0,0.1859312721239036,0.32677552347249295,0.32677552347249295,0.0,0.0
