dataset,bucket_type,bucket,num_cases,top1,top3,top5,top10,top50,median_rank,mean_rank,rank_le_50_count,rank_le_50_ratio,rank_gt_50_count,rank_gt_50_ratio,top50_rank_gt5_count,top50_rank_gt5_ratio,gold_not_in_candidate_pool_count,gold_not_in_candidate_pool_ratio
LIRICAL,hpo_count,>10,38,0.5263157894736842,0.5789473684210527,0.7105263157894737,0.7368421052631579,0.7894736842105263,1.0,422.05263157894734,30,0.7894736842105263,8,0.21052631578947367,3,0.07894736842105263,8,0.21052631578947367
MME,all,ALL,10,0.9,0.9,0.9,0.9,0.9,1.0,9.7,9,0.9,1,0.1,0,0.0,1,0.1
MME,seen_disease,seen,10,0.9,0.9,0.9,0.9,0.9,1.0,9.7,9,0.9,1,0.1,0,0.0,1,0.1
MME,hpo_count,4-6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0,0.0,0,0.0,0,0.0
MME,hpo_count,7-10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,0,0.0,0,0.0,0,0.0
MME,hpo_count,>10,5,0.8,0.8,0.8,0.8,0.8,1.0,18.4,4,0.8,1,0.2,0,0.0,1,0.2
MyGene2,all,ALL,33,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9393939393939394,0.9696969696969697,1.0,11.151515151515152,32,0.9696969696969697,1,0.030303030303030304,3,0.09090909090909091,1,0.030303030303030304
MyGene2,seen_disease,seen,33,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9393939393939394,0.9696969696969697,1.0,11.151515151515152,32,0.9696969696969697,1,0.030303030303030304,3,0.09090909090909091,1,0.030303030303030304
MyGene2,hpo_count,1-3,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,2.1666666666666665,6,1.0,0,0.0,1,0.16666666666666666,0,0.0
MyGene2,hpo_count,4-6,10,0.9,0.9,0.9,0.9,0.9,1.0,31.9,9,0.9,1,0.1,0,0.0,1,0.1
MyGene2,hpo_count,7-10,9,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.7777777777777777,9,1.0,0,0.0,1,0.1111111111111111,0,0.0
MyGene2,hpo_count,>10,8,0.875,0.875,0.875,0.875,1.0,1.0,2.5,8,1.0,0,0.0,1,0.125,0,0.0
RAMEDIS,all,ALL,217,0.7741935483870968,0.8663594470046083,0.9308755760368663,0.9539170506912442,0.9907834101382489,1.0,4.645161290322581,215,0.9907834101382489,2,0.009216589861751152,13,0.059907834101382486,2,0.009216589861751152
RAMEDIS,seen_disease,seen,217,0.7741935483870968,0.8663594470046083,0.9308755760368663,0.9539170506912442,0.9907834101382489,1.0,4.645161290322581,215,0.9907834101382489,2,0.009216589861751152,13,0.059907834101382486,2,0.009216589861751152
RAMEDIS,hpo_count,1-3,17,0.7647058823529411,0.8823529411764706,0.9411764705882353,0.9411764705882353,1.0,1.0,2.235294117647059,17,1.0,0,0.0,1,0.058823529411764705,0,0.0
