mondo_id,disease_name,num_v59_hpo,num_authoritative_phenotypes,has_provided_name,has_synonym,has_external_id,has_gene,has_inheritance,has_onset,has_clinical_course,has_confirmatory_tests,confirmatory_test_status,has_authoritative_differential_diagnosis,has_candidate_mimics_for_rerank,has_authoritative_phenotype_source,has_obsolete_mondo,has_obsolete_hpo,num_sources,best_evidence_level,low_confidence_card,needs_manual_review,missing_fields,final_card_status,review_priority,recommended_rerank_handling
MONDO:0024465,"surfactant metabolism dysfunction, pulmonary, 2",28,28,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024498,glioma susceptibility 1,5,3,False,True,True,True,True,False,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,high,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024519,renal hypodysplasia/aplasia 1,15,15,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0007277,cataract-aberrant oral frenula-growth delay syndrome,11,10,False,True,True,False,False,False,False,False,not_found,False,True,True,False,True,6,A,True,True,provided_name;genes;inheritance;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,manual_review_required,high,include_only_with_warning_or_downweight; review_mapping_or_missing_authoritative_evidence_before_primary_explanation
MONDO:0024528,"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 1",43,43,False,True,True,True,True,True,True,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024537,Brown-Vialetto-van Laere syndrome 1,42,42,False,True,True,True,True,True,True,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024547,pancreatic agenesis 1,8,8,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024548,peeling skin syndrome 1,11,12,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024551,X-linked lymphoproliferative disease due to SH2D1A deficiency,29,31,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024552,linear skin defects with multiple congenital anomalies 1,36,36,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024553,"myopathy, lactic acidosis, and sideroblastic anemia 1",35,36,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024561,vitelliform macular dystrophy 3,9,10,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024562,sick sinus syndrome 1,6,6,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024564,cerebroretinal microangiopathy with calcifications and cysts 1,44,44,False,True,True,True,True,True,True,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0008894,cataract-hypertrichosis-intellectual disability syndrome,8,10,False,True,True,False,True,False,False,False,not_found,False,True,True,False,False,5,A,False,False,provided_name;genes;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024567,"hypotonia, infantile, with psychomotor retardation and characteristic facies 1",36,36,False,True,True,True,True,True,True,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024569,optic atrophy 8,10,10,False,True,True,False,True,False,False,False,not_found,False,True,True,False,False,5,A,False,False,provided_name;genes;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024570,hyperparathyroidism 4,5,5,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024607,congenital muscular dystrophy with cataracts and intellectual disability,22,22,False,True,True,True,True,True,True,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024770,"autoinflammatory syndrome, familial, X-linked, Behcet-like 2",23,24,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024771,"myopathy, distal, 7, adult-onset, X-linked",11,15,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024772,"intellectual developmental disorder, X-linked, syndromic, Pilorge type",9,9,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024773,"spermatogenic failure, X-linked, 4",11,6,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,high,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024777,"immunodeficiency 98 with autoinflammation, X-linked",20,20,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0024781,immunodeficiency 102,30,31,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0015300,cataract - microcornea syndrome,7,7,False,True,True,True,False,False,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;inheritance;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025351,"multiple congenital anomalies-neurodevelopmental syndrome, X-linked",69,69,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025353,"developmental and epileptic encephalopathy, 90",20,20,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025356,"azoospermia, obstructive, with nephrolithiasis",5,4,False,True,True,True,True,False,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,high,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025622,"Charcot-Marie-Tooth disease, axonal, mitochondrial form, 1",22,22,False,True,True,False,True,False,False,False,not_found,False,True,True,False,False,5,A,False,False,provided_name;genes;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025690,"microcephaly, epilepsy, and diabetes syndrome 2",7,7,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025691,dystonia 30,17,17,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025699,Coffin-Siris syndrome 12,87,87,False,True,True,True,True,False,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025701,"leukodystrophy, hypomyelinating, 22",21,21,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0025712,"angioedema, hereditary, 4",5,4,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,high,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026720,"mitochondrial complex I deficiency, nuclear type 12",26,26,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0009045,cataract-nephropathy-encephalopathy syndrome,6,11,False,True,True,False,True,True,False,False,not_found,False,True,True,False,False,5,A,False,False,provided_name;genes;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026721,"mitochondrial complex I deficiency, nuclear type 30",6,6,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026722,Mullegama-Klein-Martinez syndrome,48,48,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026723,"intellectual developmental disorder, X-linked 108",27,27,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026724,Paganini-Miozzo syndrome,24,24,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026726,"nephrotic syndrome, type 20",10,4,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,high,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026727,Shukla-Vernon syndrome,26,26,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026729,"congenital disorder of glycosylation, type ICC",9,4,False,True,True,True,True,False,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,high,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026730,Basilicata-Akhtar syndrome,42,42,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026731,"hypothyroidism, congenital, nongoitrous, 8",9,9,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0026732,"hypothyroidism, congenital, nongoitrous, 9",11,5,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,high,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
MONDO:0015324,cataract-intellectual disability-anal atresia-urinary defects syndrome,12,0,False,True,True,False,False,False,False,False,not_found,False,True,False,False,False,4,A,True,True,provided_name;authoritative_phenotypes;genes;inheritance;age_of_onset;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,manual_review_required,high,include_only_with_warning_or_downweight; review_mapping_or_missing_authoritative_evidence_before_primary_explanation
MONDO:0026733,"intellectual developmental disorder, X-linked, syndromic, Hackmann-Di Donato type",23,23,False,True,True,True,True,True,False,False,not_found,False,True,True,False,False,6,A,False,False,provided_name;clinical_course;confirmatory_tests;authoritative_differential_diagnosis,ready_with_limitations,medium,use_for_rag_with_evidence_limitations; do_not_treat_missing_fields_as_negative
