mondo_id,disease_name,has_onset,has_clinical_course,has_gene,has_inheritance,needs_manual_review,notes
MONDO:0009837,choroid plexus papilloma,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0007876,laryngeal abductor paralysis,True,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009838,Parana hard-skin syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010732,spastic paraparesis-deafness syndrome,True,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010049,spastic paraplegia-glaucoma-intellectual disability syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017275,spastic paraplegia-facial-cutaneous lesions syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009044,Crigler-Najjar syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008440,spastic paraplegia-nephritis-deafness syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008442,spastic paraplegia-neuropathy-poikiloderma syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0011445,hereditary spastic paraplegia 11,True,True,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010662,paraplegia-intellectual disability-hyperkeratosis syndrome,False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0008443,spastic paraplegia-precocious puberty syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017279,young-onset Parkinson disease,False,False,True,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0011079,"rhizomelic dysplasia, Patterson-Lowry type",False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008492,stiff skin syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010208,wrinkly skin syndrome,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0010883,pectus excavatum-macrocephaly-dysplastic nails syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0007405,Crouzon syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009841,PEHO syndrome,False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0017281,renal caliceal diverticuli-deafness syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008217,pelvis-shoulder dysplasia,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0011235,pelvic dysplasia-arthrogryposis of lower limbs syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008218,Hailey-Hailey disease,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017285,penoscrotal transposition,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009846,pentosuria,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017301,pericardial and diaphragmatic defect,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008828,camptodactyly-arthropathy-coxa vara-pericarditis syndrome,False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0009965,Perlman syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0007565,familial cylindromatosis,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008756,alopecia - intellectual disability syndrome,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0009857,persistent Mullerian duct syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
